county_geoid_coalesced,missing_address,n,percent
11001,TRUE,107369,0.9999906864114744
53069,TRUE,5,0.7142857142857143
06001,TRUE,7445,0.4625660142901522
22051,TRUE,1914,0.338102808691044
13139,TRUE,1557,0.2503617945007236
02068,TRUE,4,0.2
53053,TRUE,4799,0.16458604842581795
53005,TRUE,546,0.16149068322981366
37081,TRUE,3377,0.12164985590778098
02050,TRUE,52,0.11659192825112108
02185,TRUE,3,0.061224489795918366
02275,TRUE,9,0.06
06075,TRUE,1214,0.05772431173030289
16079,TRUE,9,0.05263157894736842
02090,TRUE,556,0.05073918598284358
02240,TRUE,60,0.03913894324853229
02020,TRUE,2815,0.03428536629925096
16013,TRUE,11,0.03333333333333333
02170,TRUE,457,0.032363147085900434
02105,TRUE,4,0.03225806451612903
16009,TRUE,3,0.02857142857142857
02198,TRUE,26,0.02728226652675761
06085,TRUE,569,0.025638714910106792
02070,TRUE,4,0.024844720496894408
02122,TRUE,131,0.02454102660172349
02066,TRUE,1,0.023809523809523808
02110,TRUE,110,0.019137091162143353
02130,TRUE,94,0.01821352451075373
02180,TRUE,6,0.017543859649122806
02063,TRUE,8,0.01642710472279261
23023,TRUE,38,0.016267123287671232
02150,TRUE,37,0.014776357827476038
16035,TRUE,2,0.014598540145985401
02220,TRUE,19,0.013929618768328446
02100,TRUE,4,0.0136986301369863
02290,TRUE,1,0.012987012987012988
02016,TRUE,1,0.0125
51131,TRUE,1,0.011111111111111112
02195,TRUE,7,0.010494752623688156
23031,TRUE,149,0.00965651328580687
16043,TRUE,1,0.009345794392523364
06041,TRUE,13,0.009187279151943463
53003,TRUE,1,0.008264462809917356
23007,TRUE,35,0.007204610951008645
23003,TRUE,109,0.006439796762377408
51041,TRUE,30,0.0047694753577106515
02230,TRUE,1,0.004464285714285714
16031,TRUE,2,0.00437636761487965
16085,TRUE,1,0.0035842293906810036
16087,TRUE,1,0.003289473684210526
16039,TRUE,3,0.0032858707557502738
29189,TRUE,279,0.003179450946427961
16019,TRUE,12,0.002844950213371266
35045,TRUE,15,0.002483032610494951
53011,TRUE,33,0.0024311183144246355
35001,TRUE,119,0.0021822449615814857
16017,TRUE,1,0.002061855670103093
16055,TRUE,7,0.0015642458100558658
35043,TRUE,6,0.0015360983102918587
29099,TRUE,21,0.001390728476821192
55025,TRUE,52,0.0012854105898057052
22015,TRUE,3,0.0012355848434925864
23017,TRUE,6,0.0011187768040275966
35009,TRUE,4,0.0011108025548458762
16011,TRUE,1,0.0011061946902654867
06029,TRUE,22,0.001105916654099432
48409,TRUE,2,0.0010695187165775401
45089,TRUE,3,0.0010323468685478321
45043,TRUE,3,0.001002004008016032
16083,TRUE,3,9.881422924901185e-4
16075,TRUE,1,9.689922480620155e-4
23001,TRUE,22,9.368080395162664e-4
16005,TRUE,4,8.125126955108674e-4
23015,TRUE,1,0.00077399380804953565
29051,TRUE,2,7.11997152011392e-4
45029,TRUE,3,7.087172218284905e-4
12111,TRUE,10,6.351222610352493e-4
16027,TRUE,7,6.279716515654436e-4
23013,TRUE,2,6.011421701232341e-4
51670,TRUE,1,5.896226415094339e-4
35055,TRUE,1,5.892751915144372e-4
45021,TRUE,2,5.284015852047556e-4
45075,TRUE,5,4.4742729306487697e-4
25015,TRUE,2,4.3591979075850045e-4
53067,TRUE,3,4.180019506757698e-4
35005,TRUE,1,3.295978905735003e-4
48479,TRUE,3,3.153910849453322e-4
45041,TRUE,8,3.0426349218423156e-4
06083,TRUE,2,2.9338418659234265e-4
13057,TRUE,1,2.8851702250432774e-4
35025,TRUE,1,2.6588673225206064e-4
37191,TRUE,3,2.479543763947434e-4
23005,TRUE,8,2.3798899300907334e-4
49049,TRUE,3,2.0636995253491092e-4
51810,TRUE,2,1.8782870022539445e-4
25005,TRUE,4,1.841959845275373e-4
23019,TRUE,5,1.8275521766146423e-4
12073,TRUE,10,1.503578516870151e-4
36119,TRUE,1,1.4587892049598833e-4
45019,TRUE,2,1.336005344021376e-4
45003,TRUE,2,1.314146790196465e-4
21111,TRUE,4,1.2492582529123334e-4
55079,TRUE,5,1.2244098344597903e-4
45091,TRUE,3,1.0485844110450891e-4
48061,TRUE,1,1.0444955086693127e-4
12103,TRUE,6,1.0288771520680431e-4
51760,TRUE,2,9.324878776575905e-5
45063,TRUE,2,8.733624454148471e-5
45031,TRUE,1,8.403361344537815e-5
40143,TRUE,4,7.7293192402079193e-05
49035,TRUE,5,7.04324552753909e-5
13067,TRUE,2,6.458488067943295e-5
12099,TRUE,5,6.310979842730383e-5
37129,TRUE,1,5.9887411666067796e-5
48201,TRUE,28,5.061918105396366e-5
45085,TRUE,1,4.848484848484849e-5
50003,TRUE,1,4.796163069544364e-5
25017,TRUE,2,4.4425686932184186e-5
40109,TRUE,3,3.221234377013272e-5
16001,TRUE,1,3.1909122818213725e-5
12127,TRUE,1,1.8588051600431243e-5
48113,TRUE,1,4.547625002842266e-6
